GRAMS	Dust Mass(Msun)	Max C2H2 log(n/cm2)
3103	8.89719E-03	20.01
3104	7.11775E-03	19.92
3105	7.11775E-04	18.92
3106	7.11775E-05	17.92
3107	7.11775E-06	16.92
3108	1.24561E-02	20.16
3109	1.06766E-02	20.09
3110	1.06766E-03	19.09
3111	1.42355E-02	20.22
3112	1.42355E-03	19.22
3113	1.42355E-04	18.22
3114	1.42355E-05	17.22
3115	1.77944E-03	19.31
3116	2.13533E-03	19.39
3117	2.13533E-04	18.39
3118	2.13533E-05	17.39
3119	2.49121E-03	19.46
3120	2.84710E-03	19.52
3121	2.84710E-04	18.52
3122	2.84710E-05	17.52
3123	3.20299E-03	19.57
3124	1.56881E-02	19.79
3125	1.04587E-02	19.62
3126	1.04587E-03	18.62
3127	1.04587E-04	17.62
3128	1.04587E-05	16.62
3129	2.61468E-02	20.01
3130	2.09175E-02	19.92
3131	2.09175E-03	18.92
3132	2.09175E-04	17.92
3133	2.09175E-05	16.92
3134	3.66056E-02	20.16
3135	3.13762E-02	20.09
3136	3.13762E-03	19.09
3137	4.18349E-02	20.22
3138	4.18349E-03	19.22
3139	4.18349E-04	18.22
3140	4.18349E-05	17.22
3141	5.22937E-03	19.31
3142	6.27524E-03	19.39
3143	6.27524E-04	18.39
3144	6.27524E-05	17.39
3145	7.32112E-03	19.46
3146	8.36699E-03	19.52
3147	8.36699E-04	18.52
3148	8.36699E-05	17.52
3149	9.41286E-03	19.57
3150	2.05731E-06	17.62
3151	2.05731E-07	16.62
3152	4.11462E-06	17.92
3153	4.11462E-07	16.92
3154	8.22923E-06	18.22
3155	8.22923E-07	17.22
3156	1.23438E-05	18.39
3157	1.23438E-06	17.39
3158	1.64585E-05	18.52
3159	1.64585E-06	17.52
3160	8.22923E-04	19.62
3161	8.22923E-05	18.62
3162	8.22923E-06	17.62
3163	8.22923E-07	16.62
3164	1.64585E-04	18.92
3165	1.64585E-05	17.92
3166	1.64585E-06	16.92
3167	2.46877E-04	19.09
3168	3.29169E-04	19.22
3169	3.29169E-05	18.22
3170	3.29169E-06	17.22
3171	4.11462E-04	19.31
3172	4.93754E-04	19.39
3173	4.93754E-05	18.39
3174	4.93754E-06	17.39
3175	5.76046E-04	19.46
3176	6.58339E-04	19.52
3177	6.58338E-05	18.52
3178	6.58338E-06	17.52
3179	7.40631E-04	19.57
3180	2.77737E-03	19.79
3181	1.85158E-03	19.62
3182	1.85158E-04	18.62
3183	1.85158E-05	17.62
3184	1.85158E-06	16.62
3185	4.62894E-03	20.01
3186	3.70315E-03	19.92
3187	3.70315E-04	18.92
3188	3.70315E-05	17.92
3189	3.70315E-06	16.92
3190	5.55473E-03	20.09
3191	5.55473E-04	19.09
3192	7.40631E-04	19.22
3193	7.40631E-05	18.22
3194	7.40631E-06	17.22
3195	9.25788E-04	19.31
3196	1.11095E-03	19.39
3197	1.11095E-04	18.39
3198	1.11095E-05	17.39
3199	1.29610E-03	19.46
3200	1.48126E-03	19.52
3201	1.48126E-04	18.52
3202	1.48126E-05	17.52
3203	1.66642E-03	19.57
3204	6.72054E-03	19.79
3205	4.48036E-03	19.62
3206	4.48036E-04	18.62
3207	4.48036E-05	17.62
3208	4.48036E-06	16.62
3209	1.12009E-02	20.01
3210	8.96072E-03	19.92
3211	8.96072E-04	18.92
3212	8.96072E-05	17.92
3213	8.96072E-06	16.92
3214	1.56813E-02	20.16
3215	1.34411E-02	20.09
3216	1.34411E-03	19.09
3217	1.79214E-02	20.22
3218	1.79214E-03	19.22
3219	1.79214E-04	18.22
3220	1.79214E-05	17.22
3221	2.24018E-03	19.31
3222	2.68822E-03	19.39
3223	2.68822E-04	18.39
3224	2.68822E-05	17.39
3225	3.13625E-03	19.46
3226	3.58429E-03	19.52
3227	3.58429E-04	18.52
3228	3.58429E-05	17.52
3229	4.03232E-03	19.57
3230	1.97502E-02	19.79
3231	1.31668E-02	19.62
3232	1.31668E-03	18.62
3233	1.31668E-04	17.62
3234	1.31668E-05	16.62
3235	3.29169E-02	20.01
3236	2.63335E-02	19.92
3237	2.63335E-03	18.92
3238	2.63335E-04	17.92
3239	2.63335E-05	16.92
3240	4.60837E-02	20.16
3241	3.95003E-02	20.09
3242	3.95003E-03	19.09
3243	5.26671E-02	20.22
3244	5.26671E-03	19.22
3245	5.26671E-04	18.22
3246	5.26671E-05	17.22
3247	6.58339E-03	19.31
3248	7.90006E-03	19.39
3249	7.90006E-04	18.39
3250	7.90006E-05	17.39
3251	9.21674E-03	19.46
3252	1.05334E-02	19.52
3253	1.05334E-03	18.52
3254	1.05334E-04	17.52
3255	1.18501E-02	19.57
3256	2.05731E-06	17.62
3257	2.05731E-07	16.62
3258	4.11462E-06	17.92
3259	4.11462E-07	16.92
3260	8.22923E-06	18.22
3261	8.22923E-07	17.22
3262	1.23438E-05	18.39
3263	1.23438E-06	17.39
3264	1.64585E-05	18.52
3265	1.64585E-06	17.52
3266	8.22923E-04	19.62
3267	8.22923E-05	18.62
3268	8.22923E-06	17.62
3269	8.22923E-07	16.62
3270	1.64585E-04	18.92
3271	1.64585E-05	17.92
3272	1.64585E-06	16.92
3273	2.46877E-04	19.09
3274	3.29169E-04	19.22
3275	3.29169E-05	18.22
3276	3.29169E-06	17.22
3277	4.11462E-04	19.31
3278	4.93754E-04	19.39
3279	4.93754E-05	18.39
3280	4.93754E-06	17.39
3281	5.76046E-04	19.46
3282	6.58339E-04	19.52
3283	6.58338E-05	18.52
3284	6.58338E-06	17.52
3285	7.40631E-04	19.57
3286	2.77737E-03	19.79
3287	1.85158E-03	19.62
3288	1.85158E-04	18.62
3289	1.85158E-05	17.62
3290	1.85158E-06	16.62
3291	4.62894E-03	20.01
3292	3.70315E-03	19.92
3293	3.70315E-04	18.92
3294	3.70315E-05	17.92
3295	3.70315E-06	16.92
3296	5.55473E-03	20.09
3297	5.55473E-04	19.09
3298	7.40631E-04	19.22
3299	7.40631E-05	18.22
3300	7.40631E-06	17.22
3301	9.25788E-04	19.31
3302	1.11095E-03	19.39
3303	1.11095E-04	18.39
3304	1.11095E-05	17.39
3305	1.29610E-03	19.46
3306	1.48126E-03	19.52
3307	1.48126E-04	18.52
3308	1.48126E-05	17.52
3309	1.66642E-03	19.57
3310	6.72054E-03	19.79
3311	4.48036E-03	19.62
3312	4.48036E-04	18.62
3313	4.48036E-05	17.62
3314	4.48036E-06	16.62
3315	1.12009E-02	20.01
3316	8.96072E-03	19.92
3317	8.96072E-04	18.92
3318	8.96072E-05	17.92
3319	8.96072E-06	16.92
3320	1.56813E-02	20.16
3321	1.34411E-02	20.09
3322	1.34411E-03	19.09
3323	1.79214E-02	20.22
3324	1.79214E-03	19.22
3325	1.79214E-04	18.22
3326	1.79214E-05	17.22
3327	2.24018E-03	19.31
3328	2.68822E-03	19.39
3329	2.68822E-04	18.39
3330	2.68822E-05	17.39
3331	3.13625E-03	19.46
3332	3.58429E-03	19.52
3333	3.58429E-04	18.52
3334	3.58429E-05	17.52
3335	4.03232E-03	19.57
3336	1.97502E-02	19.79
3337	1.31668E-02	19.62
3338	1.31668E-03	18.62
3339	1.31668E-04	17.62
3340	1.31668E-05	16.62
3341	3.29169E-02	20.01
3342	2.63335E-02	19.92
3343	2.63335E-03	18.92
3344	2.63335E-04	17.92
3345	2.63335E-05	16.92
3346	4.60837E-02	20.16
3347	3.95003E-02	20.09
3348	3.95003E-03	19.09
3349	5.26671E-02	20.22
3350	5.26671E-03	19.22
3351	5.26671E-04	18.22
3352	5.26671E-05	17.22
3353	6.58339E-03	19.31
3354	7.90006E-03	19.39
3355	7.90006E-04	18.39
3356	7.90006E-05	17.39
3357	9.21674E-03	19.46
3358	1.05334E-02	19.52
3359	1.05334E-03	18.52
3360	1.05334E-04	17.52
3361	1.18501E-02	19.57
3362	2.05731E-06	17.62
3363	2.05731E-07	16.62
3364	4.11462E-06	17.92
3365	4.11462E-07	16.92
3366	8.22923E-06	18.22
3367	8.22923E-07	17.22
3368	1.23438E-05	18.39
3369	1.23438E-06	17.39
3370	1.64585E-05	18.52
3371	1.64585E-06	17.52
3372	8.22923E-04	19.62
3373	8.22923E-05	18.62
3374	8.22923E-06	17.62
3375	8.22923E-07	16.62
3376	1.64585E-04	18.92
3377	1.64585E-05	17.92
3378	1.64585E-06	16.92
3379	2.46877E-04	19.09
3380	3.29169E-04	19.22
3381	3.29169E-05	18.22
3382	3.29169E-06	17.22
3383	4.11462E-04	19.31
3384	4.93754E-04	19.39
3385	4.93754E-05	18.39
3386	4.93754E-06	17.39
3387	5.76046E-04	19.46
3388	6.58339E-04	19.52
3389	6.58338E-05	18.52
3390	6.58338E-06	17.52
3391	7.40631E-04	19.57
3392	2.77737E-03	19.79
3393	1.85158E-03	19.62
3394	1.85158E-04	18.62
3395	1.85158E-05	17.62
3396	1.85158E-06	16.62
3397	4.62894E-03	20.01
3398	3.70315E-03	19.92
3399	3.70315E-04	18.92
3400	3.70315E-05	17.92
3401	3.70315E-06	16.92
3402	5.55473E-03	20.09
3403	5.55473E-04	19.09
3404	7.40631E-04	19.22
3405	7.40631E-05	18.22
3406	7.40631E-06	17.22
3407	9.25788E-04	19.31
3408	1.11095E-03	19.39
3409	1.11095E-04	18.39
3410	1.11095E-05	17.39
3411	1.29610E-03	19.46
3412	1.48126E-03	19.52
3413	1.48126E-04	18.52
3414	1.48126E-05	17.52
3415	1.66642E-03	19.57
3416	6.72054E-03	19.79
3417	4.48036E-03	19.62
3418	4.48036E-04	18.62
3419	4.48036E-05	17.62
