            wave            flux
            (um)    (normalized)
      0.66487554      1.00000000
      0.66542983      1.00000000
      0.66598459      1.00000000
      0.66653980      1.00000000
      0.66709549      1.00000000
      0.66765163      1.00000000
      0.66820824      1.00000000
      0.66876531      1.00000000
      0.66932285      1.00000000
      0.66988085      1.00000000
      0.67043932      1.00000000
      0.67099825      1.00000000
      0.67155765      1.00000000
      0.67211751      1.00000000
      0.67267784      1.00000000
      0.67323864      1.00000000
      0.67379991      1.00000000
      0.67436164      1.00000000
      0.67492384      1.00000000
      0.67548651      1.00000000
      0.67604965      1.00000000
      0.67661326      1.00000000
      0.67717734      1.00000000
      0.67774189      1.00000000
      0.67830691      1.00000000
      0.67887240      1.00000000
      0.67943837      1.00000000
      0.68000480      1.00000000
      0.68057171      1.00000000
      0.68113909      1.00000000
      0.68170694      1.00000000
      0.68227527      1.00000000
      0.68284407      1.00000000
      0.68341334      1.00000000
      0.68398309      1.00000000
      0.68455331      1.00000000
      0.68512401      1.00000000
      0.68569519      1.00000000
      0.68626684      1.00000000
      0.68683896      1.00000000
      0.68741157      1.00000000
      0.68798465      1.00000000
      0.68855821      1.00000000
      0.68913225      1.00000000
      0.68970676      1.00000000
      0.69028176      1.00000000
      0.69085723      1.00000000
      0.69143319      1.00000000
      0.69200962      1.00000000
      0.69258654      1.00000000
      0.69316393      1.00000000
      0.69374181      1.00000000
      0.69432017      1.00000000
      0.69489901      1.00000000
      0.69547834      1.00000000
      0.69605814      1.00000000
      0.69663843      1.00000000
      0.69721921      1.00000000
      0.69780046      1.00000000
      0.69838221      1.00000000
      0.69896444      1.00000000
      0.69954715      1.00000000
      0.70013035      1.00000000
      0.70071403      1.00000000
      0.70129820      1.00000000
      0.70188286      1.00000000
      0.70246801      1.00000000
      0.70305364      1.00000000
      0.70363977      1.00000000
      0.70422638      1.00000000
      0.70481348      1.00000000
      0.70540107      1.00000000
      0.70598914      1.00000000
      0.70657771      1.00000000
      0.70716677      1.00000000
      0.70775633      1.00000000
      0.70834637      1.00000000
      0.70893690      1.00000000
      0.70952793      1.00000000
      0.71011945      1.00000000
      0.71071146      1.00000000
      0.71130397      1.00000000
      0.71189697      1.00000000
      0.71249046      1.00000000
      0.71308445      1.00000000
      0.71367894      1.00000000
      0.71427392      1.00000000
      0.71486940      1.00000000
      0.71546537      1.00000000
      0.71606184      1.00000000
      0.71665880      1.00000000
      0.71725627      1.00000000
      0.71785423      1.00000000
      0.71845269      1.00000000
      0.71905165      1.00000000
      0.71965111      1.00000000
      0.72025107      1.00000000
      0.72085153      1.00000000
      0.72145249      1.00000000
      0.72205395      1.00000000
      0.72265592      1.00000000
      0.72325838      1.00000000
      0.72386135      1.00000000
      0.72446482      1.00000000
      0.72506879      1.00000000
      0.72567326      1.00000000
      0.72627824      1.00000000
      0.72688373      1.00000000
      0.72748972      1.00000000
      0.72809621      1.00000000
      0.72870321      1.00000000
      0.72931072      1.00000000
      0.72991873      1.00000000
      0.73052725      1.00000000
      0.73113627      1.00000000
      0.73174581      1.00000000
      0.73235585      1.00000000
      0.73296640      1.00000000
      0.73357746      1.00000000
      0.73418903      1.00000000
      0.73480111      1.00000000
      0.73541370      1.00000000
      0.73602680      1.00000000
      0.73664041      1.00000000
      0.73725453      1.00000000
      0.73786917      1.00000000
      0.73848432      1.00000000
      0.73909998      1.00000000
      0.73971615      1.00000000
      0.74033284      1.00000000
      0.74095004      1.00000000
      0.74156775      1.00000000
      0.74218598      1.00000000
      0.74280473      1.00000000
      0.74342399      1.00000000
      0.74404377      1.00000000
      0.74466407      1.00000000
      0.74528488      1.00000000
      0.74590621      1.00000000
      0.74652805      1.00000000
      0.74715042      1.00000000
      0.74777331      1.00000000
      0.74839671      1.00000000
      0.74902063      1.00000000
      0.74964508      1.00000000
      0.75027004      1.00000000
      0.75089553      1.00000000
      0.75152154      1.00000000
      0.75214806      1.00000000
      0.75277512      1.00000000
      0.75340269      1.00000000
      0.75403079      1.00000000
      0.75465941      1.00000000
      0.75528855      1.00000000
      0.75591822      1.00000000
      0.75654842      1.00000000
      0.75717914      1.00000000
      0.75781038      1.00000000
      0.75844215      1.00000000
      0.75907445      1.00000000
      0.75970728      1.00000000
      0.76034063      1.00000000
      0.76097451      1.00000000
      0.76160892      1.00000000
      0.76224386      1.00000000
      0.76287933      1.00000000
      0.76351533      1.00000000
      0.76415186      1.00000000
      0.76478891      1.00000000
      0.76542650      1.00000000
      0.76606463      1.00000000
      0.76670328      1.00000000
      0.76734246      1.00000000
      0.76798218      1.00000000
      0.76862243      1.00000000
      0.76926322      1.00000000
      0.76990454      1.00000000
      0.77054639      1.00000000
      0.77118878      1.00000000
      0.77183171      1.00000000
      0.77247517      1.00000000
      0.77311917      1.00000000
      0.77376370      1.00000000
      0.77440877      1.00000000
      0.77505438      1.00000000
      0.77570053      1.00000000
      0.77634722      1.00000000
      0.77699444      1.00000000
      0.77764221      1.00000000
      0.77829052      1.00000000
      0.77893936      1.00000000
      0.77958875      1.00000000
      0.78023868      1.00000000
      0.78088915      1.00000000
      0.78154016      1.00000000
      0.78219171      1.00000000
      0.78284381      1.00000000
      0.78349645      1.00000000
      0.78414964      1.00000000
      0.78480337      1.00000000
      0.78545764      1.00000000
      0.78611247      1.00000000
      0.78676783      1.00000000
      0.78742375      1.00000000
      0.78808021      1.00000000
      0.78873721      1.00000000
      0.78939477      1.00000000
      0.79005287      1.00000000
      0.79071152      1.00000000
      0.79137072      1.00000000
      0.79203047      1.00000000
      0.79269077      1.00000000
